IdComment,IdCliente,IdProducto,Fuente,Fecha,Comentario
T0001,C019,P003,Instagram,6/15/2025,"Información suficiente, sin mayor novedad"
T0002,,P006,Twitter,8/27/2025,"Muy mala calidad, se rompió rápido"
T0003,,P008,Instagram,7/28/2025,Gran relación calidad-precio
T0004,,P015,Twitter,9/5/2025,Pésima atención al cliente
T0005,C031,P010,Instagram,9/4/2025,"No cumple con lo anunciado, insatisfecho"
T0006,,P005,Facebook,6/18/2025,"No cumple con lo anunciado, insatisfecho"
T0007,C036,P017,Twitter,7/20/2025,"No funciona como esperaba, decepcionado"
T0008,,P017,Instagram,8/25/2025,"Me encanta este producto, excelente calidad"
T0009,C021,P010,Facebook,7/9/2025,"Información suficiente, sin mayor novedad"
T0010,,P010,Facebook,8/28/2025,Gran relación calidad-precio
T0011,,P010,Instagram,7/1/2025,"Muy satisfecho con la compra, lo recomiendo"
T0012,C040,P005,Facebook,7/3/2025,Satisface lo básico
T0013,,P002,Instagram,7/2/2025,"Me encanta este producto, excelente calidad"
T0014,,P009,Instagram,6/24/2025,"Entrega correcta, sin comentarios adicionales"
T0015,C035,P001,Facebook,8/13/2025,Producto llegó rápido y funciona perfecto
T0016,C005,P013,Facebook,7/22/2025,"No funciona como esperaba, decepcionado"
T0017,C022,P016,Instagram,8/4/2025,Envío tardío y producto dañado
T0018,,P012,Instagram,7/4/2025,Producto llegó rápido y funciona perfecto
T0019,C030,P004,Twitter,8/26/2025,"Calidad superior, muy contento"
T0020,C025,P004,Twitter,8/24/2025,"Entrega correcta, sin comentarios adicionales"
T0021,,P011,Twitter,7/12/2025,"Información suficiente, sin mayor novedad"
T0022,C020,P017,Facebook,7/11/2025,"Muy mala calidad, se rompió rápido"
T0023,,P015,Twitter,9/7/2025,Producto llegó rápido y funciona perfecto
T0024,C031,P010,Twitter,7/20/2025,"Me encanta este producto, excelente calidad"
T0025,,P005,Facebook,9/8/2025,"Entrega correcta, sin comentarios adicionales"
T0026,C036,P013,Facebook,9/4/2025,Gran relación calidad-precio
T0027,C036,P013,Instagram,6/27/2025,Gran relación calidad-precio
T0028,C007,P004,Instagram,7/29/2025,Producto llegó rápido y funciona perfecto
T0029,C033,P005,Twitter,9/9/2025,"Muy mala calidad, se rompió rápido"
T0030,,P005,Facebook,8/25/2025,Satisface lo básico
T0031,,P020,Facebook,8/24/2025,Gran relación calidad-precio
T0032,,P013,Instagram,8/1/2025,"Es lo que esperaba, nada excepcional"
T0033,,P017,Facebook,7/15/2025,Pésima atención al cliente
T0034,C008,P001,Facebook,6/17/2025,Satisface lo básico
T0035,C017,P001,Instagram,8/15/2025,Satisface lo básico
T0036,C011,P002,Facebook,8/26/2025,Pésima atención al cliente
T0037,C008,P008,Facebook,7/22/2025,"Calidad superior, muy contento"
T0038,C014,P005,Facebook,9/6/2025,Pésima atención al cliente
T0039,C036,P005,Instagram,7/27/2025,"Calidad superior, muy contento"
T0040,,P011,Facebook,7/6/2025,Pésima atención al cliente
T0041,,P012,Instagram,7/14/2025,"Es lo que esperaba, nada excepcional"
T0042,,P007,Twitter,8/6/2025,Producto llegó rápido y funciona perfecto
T0043,,P010,Facebook,7/14/2025,"No cumple con lo anunciado, insatisfecho"
T0044,C018,P012,Instagram,7/6/2025,Gran relación calidad-precio
T0045,,P013,Twitter,8/7/2025,Producto llegó rápido y funciona perfecto
T0046,C006,P002,Instagram,8/12/2025,"Calidad superior, muy contento"
T0047,C035,P016,Instagram,8/10/2025,Gran relación calidad-precio
T0048,C038,P005,Instagram,7/8/2025,"Me encanta este producto, excelente calidad"
T0049,,P008,Facebook,7/15/2025,"Calidad superior, muy contento"
T0050,,P004,Twitter,7/23/2025,Gran relación calidad-precio
T0051,C013,P016,Facebook,8/8/2025,"Es lo que esperaba, nada excepcional"
T0052,,P002,Twitter,7/7/2025,Gran relación calidad-precio
T0053,,P002,Twitter,7/25/2025,"Muy satisfecho con la compra, lo recomiendo"
T0054,C019,P016,Facebook,7/3/2025,"Producto recibido, cumple su función"
T0055,C022,P020,Instagram,7/12/2025,Gran relación calidad-precio
T0056,,P005,Twitter,8/2/2025,"No funciona como esperaba, decepcionado"
T0057,,P006,Twitter,8/1/2025,"No funciona como esperaba, decepcionado"
