IdReview,IdCliente,IdProducto,Fecha,Comentario,Rating
W0001,C007,P016,10/23/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0002,C028,P005,10/15/2024,Gran relación calidad-precio. Muy recomendable.,3
W0003,C035,P020,2/2/2025,"Entrega correcta, sin comentarios adicionales. OK.",5
W0004,C021,P009,4/24/2025,"Producto recibido, cumple su función. OK.",4
W0005,C030,P008,3/25/2025,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0006,C021,P016,3/16/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0007,C018,P011,12/3/2024,"Es lo que esperaba, nada excepcional. OK.",1
W0008,C013,P017,1/6/2025,"Calidad superior, muy contento. Muy recomendable.",5
W0009,C031,P008,1/27/2025,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0010,C019,P003,4/10/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",5
W0011,C031,P012,2/8/2025,Envío tardío y producto dañado. No volvería a comprar.,5
W0012,C023,P011,4/10/2025,"Es lo que esperaba, nada excepcional. OK.",3
W0013,C008,P008,7/14/2025,"Es lo que esperaba, nada excepcional. OK.",5
W0014,C013,P006,4/25/2025,"Calidad superior, muy contento. Muy recomendable.",5
W0015,C039,P017,6/6/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0016,C024,P008,9/16/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0017,C018,P005,12/4/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0018,C032,P005,11/24/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0019,C031,P016,8/18/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0020,C008,P016,1/5/2025,"Entrega correcta, sin comentarios adicionales. OK.",1
W0021,C004,P019,4/11/2025,Gran relación calidad-precio. Muy recomendable.,1
W0022,C008,P008,11/7/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0023,C015,P020,1/26/2025,"Entrega correcta, sin comentarios adicionales. OK.",4
W0024,C038,P010,11/26/2024,"Es lo que esperaba, nada excepcional. OK.",5
W0025,C040,P002,5/30/2025,"Producto recibido, cumple su función. OK.",2
W0026,C006,P009,12/5/2024,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0027,C001,P006,1/16/2025,Gran relación calidad-precio. Muy recomendable.,3
W0028,C015,P002,9/19/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0029,C015,P003,10/10/2024,Satisface lo básico. OK.,2
W0030,C008,P014,4/30/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",2
W0031,C004,P003,11/13/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0032,C029,P010,9/20/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0033,C033,P009,8/3/2025,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0034,C028,P002,5/8/2025,Satisface lo básico. OK.,1
W0035,C015,P003,11/17/2024,Satisface lo básico. OK.,1
W0036,C037,P009,1/16/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",5
W0037,C018,P015,2/2/2025,Gran relación calidad-precio. Muy recomendable.,4
W0038,C031,P003,4/2/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0039,C022,P006,4/19/2025,"Calidad superior, muy contento. Muy recomendable.",4
W0040,C003,P018,5/7/2025,Envío tardío y producto dañado. No volvería a comprar.,3
W0041,C026,P004,10/12/2024,"Producto recibido, cumple su función. OK.",5
W0042,C027,P015,3/12/2025,Gran relación calidad-precio. Muy recomendable.,5
W0043,C029,P016,4/30/2025,"Información suficiente, sin mayor novedad. OK.",5
W0044,C019,P005,7/13/2025,"Calidad superior, muy contento. Muy recomendable.",1
W0045,C016,P020,12/5/2024,"Es lo que esperaba, nada excepcional. OK.",1
W0046,C027,P018,1/20/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0047,C032,P005,12/27/2024,"Es lo que esperaba, nada excepcional. OK.",3
W0048,C031,P014,1/23/2025,"Información suficiente, sin mayor novedad. OK.",5
W0049,C025,P005,12/27/2024,Gran relación calidad-precio. Muy recomendable.,2
W0050,C018,P003,3/23/2025,"Entrega correcta, sin comentarios adicionales. OK.",5
